Subject_ID,excluded,trials_total,trials_diatonic,trials_chromatic,d-prime,beta,c,Ad,diatonic_d-prime,diatonic_beta,diatonic_c,diatonic_Ad,diatonic_confidence,diatonic_conf_to_mean,diatonic_correct_confidence,diatonic_correct_conf_to_mean,chromatic_d-prime,chromatic_beta,chromatic_c,chromatic_Ad,chromatic_confidence,chromatic_conf_to_mean,chromatic_correct_confidence,chromatic_correct_conf_to_mean,conf_d:c,conf_correct_d:c,binom
SeqC0007,False,120,60,60,0.43616080873812646,1.3865702433228626,0.7493411617326378,0.621115674998329,0.023506975916915196,1.0136726617712402,0.5777023098913208,0.5066308901348218,3.466666666666667,1.0121654501216546,3.52,1.0031088082901554,1.0960182473414966,3.1442295918815475,1.0452096943523024,0.7808307419044027,3.3833333333333333,0.9878345498783455,3.5,0.9974093264248705,1.0246305418719213,1.0057142857142858,0.4114232202639381
SeqC0008,False,120,60,60,0.5668854910000097,0.8858778455844113,-0.21375782518154918,0.6557341933183494,0.7056591208147253,0.8603727523135489,-0.21311926152550048,0.6911019772566988,2.8333333333333335,1.0303030303030303,2.925,1.0427083333333333,0.43072729929545744,0.9114094758506123,-0.21536364964772872,0.619653238157228,2.6666666666666665,0.9696969696969696,2.675675675675676,0.9538288288288289,1.0625000000000002,1.093181818181818,0.0024468567628141585
SeqC0009,True,120,60,60,0.10220377726980304,1.0239019296371816,0.23111425842760663,0.5288060763294774,0.43072729929545756,1.0972016711442536,0.21536364964772878,0.619653238157228,1.8333333333333333,0.9909909909909909,1.7575757575757576,0.9527046162560181,-0.2263960579187075,0.9443509163997797,0.25290832784121586,0.4364065906997374,1.8666666666666667,1.009009009009009,1.96,1.062429906542056,0.9821428571428571,0.8967223252937538,0.7843281773322768
SeqC0012,False,120,60,60,1.3323288617102769,0.5448796824199622,-0.4557360366072138,0.8269289636475627,2.2578469917968573,0.29581071096245537,-0.5394676980486504,0.9448157381036044,2.816666666666667,1.0211480362537766,2.8679245283018866,1.013477088948787,0.6519283088615124,0.7381661392164252,-0.46567445331261836,0.6775945732860429,2.7,0.9788519637462236,2.7804878048780486,0.9825783972125434,1.0432098765432098,1.0314465408805031,3.1396433276298443e-10
SeqC0013,False,120,60,60,1.67986459849119,1.2388266802761505,0.12748926685610606,0.8825524929742885,2.188061914949051,1.3192048745512917,0.1266093913728245,0.9390916936358311,2.816666666666667,1.1229235880398671,2.9019607843137254,1.0955193322308843,1.261910244467941,1.1838670470907797,0.13375455155241653,0.8138853404972028,2.2,0.877076411960133,2.3488372093023258,0.8867096292145326,1.2803030303030303,1.2354882547078236,3.1396433276298443e-10
SeqC0014,False,120,60,60,1.5563482815297616,0.9792626386664186,-0.013464466978493739,0.8644437983812963,1.3018988302392671,0.9230623748371662,-0.061493617269855305,0.8213655154496694,2.5833333333333335,0.9657320872274144,2.6444444444444444,0.9710069444444445,1.843564415348542,1.0877801903953634,0.04563935842743011,0.9038144708381963,2.7666666666666666,1.0342679127725858,2.795918367346939,1.0266262755102042,0.9337349397590362,0.9458231954582319,3.1396433276298443e-10
SeqC0015,False,120,60,60,0.31454429659249517,0.47635321303375305,-2.3576827295062817,0.5880051288968646,0.3456831662738198,0.48599309588649137,-2.087347408192467,0.5965529967298819,3.6666666666666665,0.9821428571428571,3.642857142857143,0.9807692307692307,0.3456831662738198,0.48599309588649137,-2.087347408192467,0.5965529967298819,3.8,1.0178571428571428,3.7857142857142856,1.0192307692307692,0.9649122807017544,0.9622641509433962,1.3897012121027622e-05
SeqC0017,False,120,60,60,1.4773908853018831,0.5677105354443812,-0.38320502481141067,0.8519129623524879,1.7398990160812347,0.46570528114109444,-0.4392222087451597,0.890706558363547,3.8,1.0110864745011086,3.86,1.0152328767123286,1.2496377131642091,0.6517271628980097,-0.3426027095195965,0.8115512818076827,3.716666666666667,0.9889135254988914,3.739130434782609,0.9834425253126862,1.022421524663677,1.0323255813953487,2.1622281725299543e-11
SeqC0018,False,120,60,60,1.1052170494915392,1.1441994342256387,0.12188122545031213,0.7827476636728616,1.6049057270640783,1.3031171676367934,0.16496870256966195,0.8717787603324617,3.7333333333333334,1.0298850574712644,3.782608695652174,1.0095065007689081,0.6717676931814844,1.0657862262826736,0.09484345270471535,0.6826106086196602,3.5166666666666666,0.9701149425287356,3.7027027027027026,0.9881811071521682,1.061611374407583,1.0215804506505872,3.2431594454185416e-05
SeqC0019,False,120,60,60,2.1397235428816046,0.4291336706227033,-0.39537202124472065,0.9348618250640455,2.685874141532873,0.7200219343963369,-0.12229672191908647,0.9712308957214905,3.566666666666667,1.0490196078431373,3.6,1.0299727520435968,1.7474499397480312,0.3557126429570484,-0.5915088228115074,0.8917026243411165,3.2333333333333334,0.9509803921568628,3.38,0.9670299727520436,1.1030927835051547,1.0650887573964498,8.274509160649242e-18
SeqC0021,False,120,60,60,1.6130856640231774,1.092935250360852,0.055091288162583574,0.8729867480643674,2.0122789565907246,1.5397739007964952,0.21450087055198774,0.9226168609058274,2.15,1.0238095238095237,2.36734693877551,1.0115027829313543,1.3018988302392671,0.9230623748371662,-0.061493617269855305,0.8213655154496694,2.05,0.976190476190476,2.311111111111111,0.9874747474747474,1.048780487804878,1.0243328100470959,3.1396433276298443e-10
